date,run_id,git_commit,phase,split,subtrack,config,models,macro_ndcg10,ci_low,ci_high,recall100,gpu_hours,hardware,notes,dev_eval_reason
2026-09-22,phase1_bm25_iota_r2,fa495d3,1,train,1a,official_baseline.py @23093c3; LuceneBM25Model k1=0.9 b=0.4; top-1000,pyserini Lucene analyzer (JDK 21); gensim 4.4.0; pytrec_eval 0.5.10 (terrier),0.01987,,,0.08333,0,"Kaggle CPU kernel, no GPU","IOTA only - single-domain score, NOT the 13-domain macro. Gate PASS vs BASELINE_RESULTS.md @23093c3. num_topics=7 = the IOTA train split size (7 train / 3 dev). CORRECTED 2026-09-22: this was first logged as restrict_to_corpus dropping 3 of 10 queries; the Phase 2 audit found ZERO unreachable gold ids in all of Track 1, so nothing was dropped.",
2026-09-22,phase1_bm25_iota_r2,fa495d3,1,dev,1a,official_baseline.py @23093c3; LuceneBM25Model k1=0.9 b=0.4; top-1000,pyserini Lucene analyzer (JDK 21); gensim 4.4.0; pytrec_eval 0.5.10 (terrier),0.20834,,,0.58333,0,"Kaggle CPU kernel, no GPU","IOTA only - single-domain score, NOT the 13-domain macro. Gate PASS vs BASELINE_RESULTS.md @23093c3. num_topics=3 - wiring evidence only, never quote as a system result.","Phase 1 gate (CLAUDE.md 9) requires matching the organizers' published IOTA dev figures. Reproduction of a published baseline only - no tuning, no model selection."
2026-09-22,phase1_bm25_iota_r2,fa495d3,1,train,1b,official_baseline.py @23093c3; LuceneBM25Model k1=0.9 b=0.4; top-1000,pyserini Lucene analyzer (JDK 21); gensim 4.4.0; pytrec_eval 0.5.10 (terrier),0.00000,,,0.06250,0,"Kaggle CPU kernel, no GPU","IOTA only - single-domain score, NOT the 13-domain macro. Gate PASS vs BASELINE_RESULTS.md @23093c3. num_topics=16 steps. Published as 0.0000; abstains from the verdict.",
2026-09-22,phase1_bm25_iota_r2,fa495d3,1,dev,1b,official_baseline.py @23093c3; LuceneBM25Model k1=0.9 b=0.4; top-1000,pyserini Lucene analyzer (JDK 21); gensim 4.4.0; pytrec_eval 0.5.10 (terrier),0.32887,,,0.50000,0,"Kaggle CPU kernel, no GPU","IOTA only - single-domain score, NOT the 13-domain macro. Gate PASS vs BASELINE_RESULTS.md @23093c3. num_topics=8 steps.","Phase 1 gate (CLAUDE.md 9) requires matching the organizers' published IOTA dev figures. Reproduction of a published baseline only - no tuning, no model selection."
2026-09-22,phase2_bm25_full_r1,6e2e1b7,2,train,1a,official_baseline.py @23093c3; LuceneBM25Model k1=0.9 b=0.4; top-1000; all 13 domains,pyserini Lucene analyzer (JDK 21); gensim 4.4.0; pytrec_eval 0.5.10 (terrier),0.09443,,,,0,"Kaggle CPU kernel, no GPU; 4974.8s baseline (83 min)","PHASE 2 GATE PASS: all 13 domains + macro match BASELINE_RESULTS.md @23093c3 to 4dp. domain-macro 0.0879 (the gate) vs query-macro 0.0944 (the LEADERBOARD metric, CLAUDE.md 4) - delta +0.0066. 1211 topics.",
2026-09-22,phase2_bm25_full_r1,6e2e1b7,2,dev,1a,official_baseline.py @23093c3; LuceneBM25Model k1=0.9 b=0.4; top-1000; all 13 domains,pyserini Lucene analyzer (JDK 21); gensim 4.4.0; pytrec_eval 0.5.10 (terrier),0.10549,,,,0,"Kaggle CPU kernel, no GPU; 4974.8s baseline (83 min)","PHASE 2 GATE PASS: all 13 domains + macro match BASELINE_RESULTS.md @23093c3 to 4dp. domain-macro 0.0967 (the gate) vs query-macro 0.1055 (the LEADERBOARD metric, CLAUDE.md 4) - delta +0.0088. 519 topics.","Phase 2 gate requires matching the organizers' published macro table, which includes dev. Reproduction of a published baseline only - no tuning, no selection."
2026-09-22,phase2_bm25_full_r1,6e2e1b7,2,train,1b,official_baseline.py @23093c3; LuceneBM25Model k1=0.9 b=0.4; top-1000; all 13 domains,pyserini Lucene analyzer (JDK 21); gensim 4.4.0; pytrec_eval 0.5.10 (terrier),0.09104,,,,0,"Kaggle CPU kernel, no GPU; 4974.8s baseline (83 min)","PHASE 2 GATE PASS: all 13 domains + macro match BASELINE_RESULTS.md @23093c3 to 4dp. domain-macro 0.0852 (the gate) vs query-macro 0.0910 (the LEADERBOARD metric, CLAUDE.md 4) - delta +0.0059. 2762 topics.",
2026-09-22,phase2_bm25_full_r1,6e2e1b7,2,dev,1b,official_baseline.py @23093c3; LuceneBM25Model k1=0.9 b=0.4; top-1000; all 13 domains,pyserini Lucene analyzer (JDK 21); gensim 4.4.0; pytrec_eval 0.5.10 (terrier),0.11512,,,,0,"Kaggle CPU kernel, no GPU; 4974.8s baseline (83 min)","PHASE 2 GATE PASS: all 13 domains + macro match BASELINE_RESULTS.md @23093c3 to 4dp. domain-macro 0.1063 (the gate) vs query-macro 0.1151 (the LEADERBOARD metric, CLAUDE.md 4) - delta +0.0088. 1214 topics.","Phase 2 gate requires matching the organizers' published macro table, which includes dev. Reproduction of a published baseline only - no tuning, no selection."
2026-09-22,phase3_cv_1a_train,c83b470,3,train_cv,1a,"BM25 phase2 runs rescored locally; eval/score_runs.py -> eval/cv.py 5-fold domain-stratified, seed 20260916",pytrec_eval 0.5.10 (terrier); scores from official_baseline.py BM25 k1=0.9 b=0.4,0.09443,0.0829,0.1066,0.2681,0,"local CPU (no GPU); rescoring only, no retrieval",PHASE 3: harness reproduces BM25 exactly (domain-macro 0.0879 = published). fold sd 0.0090. recall@100 0.2681 and 56.6% of queries have ZERO gold in top-100 -> hard ceiling on any reranker. 77.7% of queries score nDCG@10 = 0.0.,
2026-09-22,phase3_cv_1b_train,c83b470,3,train_cv,1b,"BM25 phase2 runs rescored locally; eval/score_runs.py -> eval/cv.py 5-fold domain-stratified, seed 20260916",pytrec_eval 0.5.10 (terrier); scores from official_baseline.py BM25 k1=0.9 b=0.4,0.09186,0.0800,0.1041,,0,"local CPU (no GPU); rescoring only, no retrieval","PHASE 3: 1b aggregated the official way (steps averaged per query, then across queries) = 0.0919 over 1121 queries; naive step-pooling gives 0.0910 over 2762 steps. domain-macro by step 0.0852 = published. fold sd 0.0144.",
2026-09-22,phase4a_embed_bench,6d7fc95,4,train_cv,1a,"Diver-Retriever-0.6B fp16 batch8 max_len512; 20k stratified docs; sentence-transformers last-token pooling, L2-normalised","AQ-MedAI/Diver-Retriever-0.6B (1024-d, Apache-2.0); sentence-transformers; torch fp16",,,,,0.28,"Kaggle T4 (sm75, 15.6GB); 2 visible, 1 used; peak 1.74GB","PHASE 4a THROUGHPUT, MEASURED: 6,134 real tok/s = 25.0 doc/s -> 11.8 GPU-h for the 0.26B-token capped+deduped corpus (0.39 weeks of quota). fp32->fp16 = 3.2x (1,847 -> 5,991 tok/s). Length-sorting gave NO win (5,860 tok/s) because sentence-transformers already sorts internally. fp16 cast numerically safe: 0 inf, 0 nan, norms ~1.0. No OOM to batch 128. torch.cuda.is_bf16_supported() wrongly reports True on sm75. No nDCG measured - this row is COST, not quality.",
